Date,미결제 약정 (Open Interest)
2022.8.5,8664349082
2022.8.6,8740555725
2022.8.7,8835613482
2022.8.8,9462758152
2022.8.9,9262415990
2022.8.10,9070542438
2022.8.11,9177257714
2022.8.12,9451938073
2022.8.13,9580065867
2022.8.14,9378535730
2022.8.15,9121367348
2022.8.16,9126990788
2022.8.17,9451442634
2022.8.18,9374912672
2022.8.19,8293802560
2022.8.20,8322938258
2022.8.21,8449368675
2022.8.22,8412464820
2022.8.23,8493039450
2022.8.24,8429675492
2022.8.25,8431625147
2022.8.26,8340650716
2022.8.27,8462427919
2022.8.28,8360190663
2022.8.29,8558744720
2022.8.30,8501508163
2022.8.31,8086140378
2022.9.1,8381720189
2022.9.2,8265808285
2022.9.3,8665986876
2022.9.4,8614520077
2022.9.5,8757814928
2022.9.6,8539034898
2022.9.7,8347525034
2022.9.8,8291883189
2022.9.9,9389255867
2022.9.10,9570779691
2022.9.11,9800516856
2022.9.12,10125511383
2022.9.13,8354033916
2022.9.14,8255793264
2022.9.15,8120118111
2022.9.16,8230536589
2022.9.17,8445051346
2022.9.18,8227880842
2022.9.19,7983881773
2022.9.20,7820297269
2022.9.21,7611230424
2022.9.22,8131254079
2022.9.23,8038192552
2022.9.24,8019732614
2022.9.25,8049652484
2022.9.26,8395517782
2022.9.27,8393529227
2022.9.28,8721078139
2022.9.29,8652922169
2022.9.30,8428234889
2022.10.1,8587382396
2022.10.2,8525165059
2022.10.3,9097299382
2022.10.4,10501482888
2022.10.5,10103718686
2022.10.6,9972570748
2022.10.7,9744232850
2022.10.8,9730713755
2022.10.9,9892147823
2022.10.10,10007468864
2022.10.11,10219216153
2022.10.12,9732996096
2022.10.13,10042334519
2022.10.14,9639945030
2022.10.15,9694178516
2022.10.16,9534341724
2022.10.17,10177131321
2022.10.18,9900193578
2022.10.19,10022074996
2022.10.20,10094425411
2022.10.21,9871655439
2022.10.22,9850351297
2022.10.23,10197351789
2022.10.24,9628540741
2022.10.25,10526976654
2022.10.26,10652948835
2022.10.27,9710112906
2022.10.28,9673294195
2022.10.29,9897482135
2022.10.30,9470550416
2022.10.31,9156617546
2022.11.1,9162133785
2022.11.2,8875517516
2022.11.3,8948752582
2022.11.4,9852548653
2022.11.5,10221875523
2022.11.6,9663440862
2022.11.7,8935749697
2022.11.8,7136798291
2022.11.9,6794489659
2022.11.10,6705779289
2022.11.11,6385703458
2022.11.12,6302329361
2022.11.13,6135227745
2022.11.14,5974672700
2022.11.15,6166148132
2022.11.16,6231278572
2022.11.17,6380047094
2022.11.18,6382802577
2022.11.19,6377868733
2022.11.20,6348322377
2022.11.21,6311263724
2022.11.22,6449331960
2022.11.23,6444517437
2022.11.24,6482336224
2022.11.25,6490111258
2022.11.26,6518694454
2022.11.27,6558966000
2022.11.28,6401976510
2022.11.29,6550594381
2022.11.30,6697463872
2022.12.1,6312105833
2022.12.2,6276937150
2022.12.3,6260862127
2022.12.4,6443780831
2022.12.5,6243899365
2022.12.6,6059661148
2022.12.7,5964082420
2022.12.8,6096947749
2022.12.9,6028014110
2022.12.10,6111206433
2022.12.11,6081904219
2022.12.12,6046318543
2022.12.13,6288887742
2022.12.14,6460865792
2022.12.15,6287346288
2022.12.16,5827323170
2022.12.17,5951494826
2022.12.18,5874991427
2022.12.19,5818663529
2022.12.20,5801996491
2022.12.21,5860373546
2022.12.22,5982482774
2022.12.23,5969525649
2022.12.24,5953963269
2022.12.25,5957117619
2022.12.26,5971803991
2022.12.27,6141357486
2022.12.28,6239899854
2022.12.29,6343966354
2022.12.30,6330783023
2022.12.31,6258379218
2023.1.1,6379258916
2023.1.2,6312366415
2023.1.3,6336705184
2023.1.4,6220281050
2023.1.5,6310394264
2023.1.6,6239325444
2023.1.7,6299140250
2023.1.8,6212151658
2023.1.9,6241014537
2023.1.10,6635488790
2023.1.11,6562103231
2023.1.12,6751881037
2023.1.13,7218483080
2023.1.14,6567789135
2023.1.15,6625108972
2023.1.16,6872036123
2023.1.17,6982313983
2023.1.18,6813103662
2023.1.19,7141228059
2023.1.20,7166578326
2023.1.21,7000197462
2023.1.22,6948056372
2023.1.23,6983768742
2023.1.24,6991001002
2023.1.25,6725071337
2023.1.26,6845591492
2023.1.27,6866564938
2023.1.28,6909415715
2023.1.29,7559652491
2023.1.30,7029132336
2023.1.31,7228067449
2023.2.1,7498797354
2023.2.2,7363626651
2023.2.3,7352797640
2023.2.4,7350934126
2023.2.5,7475053731
2023.2.6,7397007358
2023.2.7,7461053498
2023.2.8,7565298852
2023.2.9,6967908648
2023.2.10,6978897461
2023.2.11,7002176033
2023.2.12,6924552892
2023.2.13,6934230566
2023.2.14,7227102165
2023.2.15,7898004893
2023.2.16,7557436138
2023.2.17,7748783242
2023.2.18,7970468904
2023.2.19,7826370852
2023.2.20,8119036752
2023.2.21,8062031266
2023.2.22,7918108855
2023.2.23,7833341559
2023.2.24,7569929623
2023.2.25,7677403160
2023.2.26,7671744077
2023.2.27,7494304520
2023.2.28,7574037551
2023.3.1,7567959871
2023.3.2,7819556332
2023.3.3,7157085302
2023.3.4,7089527708
2023.3.5,6994980229
2023.3.6,7101971863
2023.3.7,7018974378
2023.3.8,6982633514
2023.3.9,6377037050
2023.3.10,6225140499
2023.3.11,6053021516
2023.3.12,5962973813
2023.3.13,6892718179
2023.3.14,7062520303
2023.3.15,6940007153
2023.3.16,7148991214
2023.3.17,8020917096
2023.3.18,7898275867
2023.3.19,8461530698
2023.3.20,8333772148
2023.3.21,8337328779
2023.3.22,8216404659
2023.3.23,8023316208
2023.3.24,7525375326
2023.3.25,7538844661
2023.3.26,7930464608
2023.3.27,7727676518
2023.3.28,7895560645
2023.3.29,8456226582
2023.3.30,8007070797
2023.3.31,8244577954
2023.4.1,8198453314
2023.4.2,8107756828
2023.4.3,7555056187
2023.4.4,7807857979
2023.4.5,7731691689
2023.4.6,7855179521
2023.4.7,7989991166
2023.4.8,7958269336
2023.4.9,8142426525
2023.4.10,9399079689
2023.4.11,9495525129
2023.4.12,9352707604
2023.4.13,9515774301
2023.4.14,8867074032
2023.4.15,8891993118
2023.4.16,8779596124
2023.4.17,8630487290
2023.4.18,8934247521
2023.4.19,8209349110
2023.4.20,8282204876
2023.4.21,7996641145
2023.4.22,8273989161
2023.4.23,8004667666
2023.4.24,7962199740
2023.4.25,8198930142
2023.4.26,7457284714
2023.4.27,8070124504
2023.4.28,8158367822
2023.4.29,8183745774
2023.4.30,8040185313
2023.5.1,7960027159
2023.5.2,8160386306
2023.5.3,8040568287
2023.5.4,8223616163
2023.5.5,8561031499
2023.5.6,8092079315
2023.5.7,8069914311
2023.5.8,8310169252
2023.5.9,8336629445
2023.5.10,7871322483
2023.5.11,8215766997
2023.5.12,7917080508
2023.5.13,7956708873
2023.5.14,8061113720
2023.5.15,8235765531
2023.5.16,8271853408
2023.5.17,8338791055
2023.5.18,8061121758
2023.5.19,7999493923
2023.5.20,8171637246
2023.5.21,8120816778
2023.5.22,8162597932
2023.5.23,8391890242
2023.5.24,8380365160
2023.5.25,8316939037
2023.5.26,8196379488
